Победителей	просп.	Пераможцаў			Машерова (устар.)	
Подольская	ул.					
Подольский 1-й	пер.					
Подольский 2-й	пер.					
Подольский 3-й	пер.					
Подольский 4-й	пер.					
Попова	ул.					
Кулешова 1-й	пер.					
Кулешова 2-й	пер.					
Подшипниковый	проезд					
Пономарева	ул.	Панамарова	Первомайский			
Пожарная	ул.					
Пожарского	ул.					
Полевая	ул.					
Полевой	пер.					
Полесская	ул.					
Ползунова	пер.					
Полиграфическая	ул.					
Полиграфический 1-й	пер.					
Полиграфический 2-й	пер.					
Полиграфический 3-й	пер.					
Полиграфический 4-й	пер.					
Полоцкий	пер.					
Полтавская	ул.					
Поселковая 1-я	ул.					
Поселковая 2-я	ул.					
Лукьяновича	ул.	Лукьяновіча				
Поселковый	пер.					
Поселковый 2-й	пер.					
Поселковый 3-й	пер.					
Полярная	ул.					
Пономаренко	ул.					
Правда газеты просп.	просп.				
Пржевальского	ул.					
Пржевальского 2-я	ул.					
Привокзальная					
Пригородная	ул.					
Прилукская	ул.					
Привлекательная	ул.					
Прилукский 2-й	пер.					
Притыцкого	ул.					
Прогрессивная	ул.					
Проездной	пер.					
Приозерная	ул.					
Прямая	ул.					
Промышленный	пер.					
Промышленная	ул.					
Псковская	ул.					
Почтовая	ул.					
Прушинских	ул.					
Пугачевская	ул.					
Пулихова	ул.					
Путейская	ул.					
Путейский	пер.					
Путепроводный 1-й	пер.					
Путепроводный 2-й	пер.					
Путепроводный 3-й	пер.					
Путепроводный 4-й	пер.					
Путепроводный 5-й	пер.					
Путепроводный 6-й	пер.					
Путепроводный 7-й	пер.					
Путепроводный 8-й	пер.					
Пуховичская	ул.					
Пушкина просп.	просп.				
Путилова	ул.					
Рабкоровская	ул.					
Рабкоровский	пер.					
Рабочий	пер.					
Радиальная	ул.					
Радиаторная 1-я	ул.					
Радиаторный 1-й	пер.					
Радиаторный 2-й	пер.					
Радиаторный 3-й	пер.					
Радиаторный 4-й	пер.					
Радиаторный 5-й	пер.					
Радиаторная 2-я	ул.					
Радищева	ул.					
Радошковичская	ул.					
Разинская	ул.					
Разинский	пер.					
Рафиева	ул.		Московский			
Райниса	ул.					
Радужная	ул.					
Революционная	ул.					
Репина	ул.					
Романовская Слобода	ул.					
Рижская	ул.					
Рижский 1-й	пер.					
Рижский 2-й	пер.					
Родниковая	ул.					
Ротмистрова	ул.					
Рогачевский	пер.					
Рогачевский	проезд					
Рокоссовского просп.	просп.				
Роменская	ул.					
Русановича	ул.					
Руссиянова	ул.					
Румянцева	ул.					
Рыбалко	ул.					
Рылеева	ул.					
Рущица	ул.					
Садовая	ул.					
Самарский	пер.					
Саперов	ул.					
Свердлова	ул.					
Светлая	ул.					
Свирский 1-й	пер.					
Свирский 2-й	пер.					
Свирский 3-й	пер.					
Свирский 4-й	пер.					
Свислочская	ул.				Располагалась вдоль Чижовского водохранилища. Новая Свислочская улица (проектируемое название - Магистральная) пройдет вдоль одноименной городской реки на участке от улицы Машиностроителей до Инженерной.[1]	
Свободы	ул.					
Свободы площадь	пл.	Плошча Свабоды			
Севастопольская	ул.	Севастопальская	Первомайский			
Севастопольский	пер.					
Северный	пер.					
Седова	ул.					
Седых	ул.					
Селицкого	ул.					
Семашко	ул.					
Семенова	ул.					
Сенницкая	ул.					
Сенницкий	проезд					
3 сентября	ул.					
Серафимовича	ул.					
Сердича	ул.					
Серебрянская	ул.					
Серебрянский	пер.					
Серова	ул.					
Сеченова	ул.					
Силикатный 1-й	пер.					
Силикатный 2-й	пер.					
Сиреневая	ул.					
Скорины	ул.	Скарыны				
Скорины 1-й	пер.					
Скрипникова	ул.					
Скрыганова	ул.					
Славинского	ул.					
Славный	пер.					
Славянская	ул.					
Большая Слепня	ул.					
Слепнянский 2-й	пер.					
Слепнянский 4-й	пер.					
Слесарная	ул.					
Слободской	пер.					
Слонимская	ул.	Слонімская				
Слонимский 1-й	пер.	Слонімскі				
Слуцкой	ул.					
Слободская	ул.		Московский			
Слободской	проезд		Московский			
Смирнова	ул.					
Смоленская	ул.					
Смолячкова	ул.					
Сморговский тракт					
Сморговский 1-й	пер.					
Сморговский 2-й	пер.					
Сморговский 3-й	пер.					
Сморговский 4-й	пер.					
Сморговский 5-й	пер.					
Сморговский	проезд					
Снежный	пер.					
Собинова	ул.					
Собинова 2-й	пер.					
Советская	ул.	Савецкая				
Соколянский	пер.					
Сосновая	ул.					
Солнечная	ул.					
Собинова	пер.					
Соломенная	ул.					
Солтыса	ул.					
Солтыса	пер.					
Социалистическая	ул.					
Стариновская	ул.					
Стадионная	ул.					
Степянская	ул.					
Степянский	пер.					
Станиславского	ул.					
Старобинская	ул.					
Староборисовский тракт					
Старовиленская	ул.	Старавіленская				
Старовиленский тракт		Старавіленскі тракт			
Сторожевская	ул.	Старажэўская				
Стасова	ул.					
Стасова 1-й	пер.					
Стасова 2-й	пер.					
Стасова 3-й	пер.					
Стахановская	ул.					
Стахановский	пер.					
Стебенева	ул.					
Стебенева	пер.					
Стекольный	пер.					
Степной	пер.					
Столбцовская	ул.					
Столетова	ул.					
Столетова	пер.					
Столетова	проезд					
Стрелковая	ул.					
Строителей	ул.					
Студенческая	ул.					
Студенческий	пер.					
Малое Стиклево	ул.					
Степная	ул.					
Суворова	ул.					
Судмалиса	ул.					
Суражская	ул.					
Сурганова	ул.		Советский Первомайский			
Сурикова	ул.					
Сурикова	пер.					
Сурикова	проезд					
Сухая	ул.					
Чайлытко	ул.					
Сухаревская	ул.					
Тобольский	пер.					
Таежная	ул.					
Талаша	ул.	Талаша				
Талаша	пер.	Талаша				
Таллиннская	ул.					
Таллиннский	пер.					
Танка	ул.	Максіма Танка				
Тарашкевича	ул.					
Тарханова	ул.					
Ташкентская	ул.					
Ташкентский	проезд					
Тбилисская	ул.					
Твердый 1-й	пер.					
Телеграфный	пер.					
Тенистая	ул.					
Тепличная	ул.					
Тепличный	пер.					
Тикоцкого	ул.					
Типографский	проезд					
Тимирязева	пер.					
Тимирязева	ул.					
Тимошенко	ул.					
Тиражная	ул.					
Тиражный 1-й	пер.					
Тиражный 2-й	пер.					
Тиражный	проезд					
Тихая	ул.					
Тихий	пер.					
Товарищеский	пер.					
Толбухина	ул.					
Толстого	ул.					
Толстого	пер.					
Толстого	проезд					
Томская	ул.					
Томский	пер.					
Топографическая	ул.					
Топографический 1-й	пер.					
Топографический 2-й	пер.					
Торговая	ул.					
Торфяной	пер.					
Азгура	ул.					
Тракторостроителей бульвар					
Транспортный	пер.					
Тростенецкая	ул.					
Трубный 1-й	пер.					
Трубный 2-й	пер.					
Трубный 3-й	пер.					
Трудовая	ул.					
Тростенец малый	ул.					
Тростенец малый	пер.					
Трубный	пер.					
Труса	ул.					
Тульская	ул.					
Тульский 1-й	пер.					
Тульский 2-й	пер.					
Тургенева	ул.					
Тухачевского	ул.					
Тучинский	пер.					
Тупиковая	ул.					
Тяпинского	ул.					
Уборевича	ул.					
Уборевича	проезд					
Украинская	ул.					
Украинки	ул.					
Ульяновская	ул.					
Уманская	ул.					
Уманская 1-я	ул.					
Уральская	ул.					
Уральский	пер.					
Городской Вал	ул.					
Урожайная	ул.					
Уручская	ул.					
Уручье	ул.					
Уфимская	ул.					
Ученический	пер.					
Ушакова	ул.					
Ушакова	пер.					
Уютная	ул.					
Фабрициуса	ул.					
Фабрициуса	пер.					
Фабричная	ул.					
Фабричный 1-й	пер.					
Фабричный 2-й	пер.					
Фанипольская	ул.					
Фанипольский	пер.					
Федорова	ул.					
Федотова	ул.					
Федотова	пер.					
Физкультурная	ул.					
Физкультурный	пер.					
Физкультурный 2-й	пер.					
Филатова	ул.					
Филимонова	ул.					
Фогеля	ул.	Фогеля				
Фомина	ул.					
Фомина 1-й	пер.					
Фомина 2-й	пер.					
Фроликова	ул.					
Фруктовый	пер.					
Фрунзе	ул.					
Фучика	ул.		Заводской			
Хабаровская	ул.					
Халтурина	ул.					
Халтурина 1-й	пер.					
Халтурина 2-й	пер.					
Харьковская	ул.					
Харьковский 3-й	пер.					
Хмелевского	ул.					
Хмельницкого	ул.					
Холмогорская	ул.					
Холмогорский 1-й	пер.					
Холмогорский 2-й	пер.					
Холмогорский 3-й	пер.					
Холмогорский 4-й	пер.					
Хоружей	ул.					
Центральная	ул.					
